     Time_Now  Buffer_Level 
      2.19651             0
      2.19651             2
      2.46971        1.7268
      2.46971        3.7268
       2.6579       3.53861
       2.6579       5.53861
      2.84173       5.35478
      2.84173       7.35478
      2.93768       7.25882
      2.93768       9.25882
       3.0335       9.16301
       3.0335        11.163
      3.12821       11.0683
      3.12821       13.0683
      3.22207       12.9744
      3.22207       14.9744
      3.31681       14.8797
      3.31681       16.8797
        3.411       16.7855
        3.411       18.7855
       3.5052       18.6913
       3.5052       20.6913
      3.59888       20.5976
      3.59888       22.5976
      3.69273       22.5038
      3.69273       24.5038
      3.78554        24.411
      3.78554        26.411
      3.87884       26.3177
      3.87884       28.3177
      3.97369       28.2228
      3.97369       30.2228
      4.06921       30.1273
      4.06921       32.1273
      4.16424       32.0323
      4.16424       34.0323
      4.26022       33.9363
      4.26022       35.9363
      4.35596       35.8405
      4.35596       37.8405
      14.0087       28.1879
      14.0087       30.1879
      14.1177       30.0788
      14.1177       32.0788
      16.6098       29.5867
      16.6098       31.5867
      17.6642       30.5324
      17.6642       32.5324
      20.5503       29.6462
      20.5503       31.6462
       24.058       28.1385
       24.058       30.1385
      24.1741       30.0224
      24.1741       32.0224
      26.5513       29.6452
      26.5513       31.6452
       29.793       28.4035
       29.793       30.4035
      30.6692       29.5273
      30.6692       31.5273
      33.1007       29.0958
      33.1007       31.0958
      33.8164       30.3802
      33.8164       32.3802
      34.9644       31.2321
      34.9644       33.2321
      37.7912       30.4053
      37.7912       32.4053
       41.427       28.7695
       41.427       30.7695
       41.542       30.6545
       41.542       32.6545
      45.1321       29.0644
      45.1321       31.0644
      47.9274       28.2691
      47.9274       30.2691
      50.2431       27.9534
      50.2431       29.9534
      50.3801       29.8164
      50.3801       31.8164
      51.3376       30.8589
      51.3376       32.8589
      54.7486       29.4479
      54.7486       31.4479
       55.645       30.5516
       55.645       32.5516
      57.3849       30.8116
      57.3849       32.8116
      61.8856       28.3109
      61.8856       30.3109
      63.3492       28.8473
      63.3492       30.8473
      63.6594       30.5371
      63.6594       32.5371
      66.7146       29.4819
      66.7146       31.4819
      69.3253       28.8712
      69.3253       30.8712
      75.6725        24.524
      75.6725        26.524
      77.1259       25.0706
      77.1259       27.0706
      77.6727       26.5238
      77.6727       28.5238
       80.399       25.7975
       80.399       27.7975
      84.3052       23.8913
      84.3052       25.8913
      86.6874       23.5091
      86.6874       25.5091
      89.5392       22.6573
      89.5392       24.6573
      91.8477       22.3488
      91.8477       24.3488
      93.8915        22.305
      93.8915        24.305
       95.382       22.8145
       95.382       24.8145
       96.139       24.0575
       96.139       26.0575
      97.4601       24.7364
