     Time_Now  Buffer_Level 
       2.2259             0
       2.2259             2
      2.86582       1.36008
      2.86582       3.36008
      3.07776       3.14814
      3.07776       5.14814
      3.25381       4.97209
      3.25381       6.97209
      3.40798       6.81792
      3.40798       8.81792
      3.55359       8.67231
      3.55359       10.6723
      3.68614       10.5398
      3.68614       12.5398
      3.80704       12.4189
      3.80704       14.4189
      3.93927       14.2866
      3.93927       16.2866
      4.06495       16.1609
      4.06495       18.1609
      4.19261       18.0333
      4.19261       20.0333
      4.31909       19.9068
      4.31909       21.9068
      4.44267       21.7832
      4.44267       23.7832
      4.55249       23.6734
      4.55249       25.6734
      4.81723       25.4087
      4.81723       27.4087
      5.48854       26.7374
      5.48854       28.7374
      6.53333       27.6926
      6.53333       29.6926
      7.96036       28.2655
      7.96036       30.2655
      9.55156       28.6743
      9.55156       30.6743
      11.2926       28.9333
      11.2926       30.9333
      13.1936       29.0323
      13.1936       31.0323
      15.0696       29.1563
      15.0696       31.1563
      16.9402       29.2857
      16.9402       31.2857
      19.9724       28.2535
      19.9724       30.2535
      22.8185       27.4074
      22.8185       29.4074
      25.5854       26.6405
      25.5854       28.6405
      28.0608       26.1651
      28.0608       28.1651
      30.2547       25.9712
      30.2547       27.9712
      32.2127       26.0132
      32.2127       28.0132
      34.1244       26.1015
      34.1244       28.1015
      35.7587       26.4672
      35.7587       28.4672
       37.608       26.6179
       37.608       28.6179
      39.4317       26.7942
      39.4317       28.7942
      41.1446       27.0813
      41.1446       29.0813
      42.8911       27.3348
      42.8911       29.3348
      44.5544       27.6715
      44.5544       29.6715
      46.4366       27.7893
      46.4366       29.7893
      48.2623       27.9636
      48.2623       29.9636
      50.0711       28.1548
      50.0711       30.1548
      51.8494       28.3765
      51.8494       30.3765
      53.6166       28.6093
      53.6166       30.6093
      55.5464       28.6795
      55.5464       30.6795
      57.4541       28.7718
      57.4541       30.7718
       59.328       28.8979
       59.328       30.8979
      61.1635       29.0624
      61.1635       31.0624
      63.0043       29.2216
      63.0043       31.2216
      64.8281       29.3978
      64.8281       31.3978
        66.82        29.406
        66.82        31.406
      68.8078       29.4181
      68.8078       31.4181
      70.7445       29.4814
      70.7445       31.4814
      72.6655       29.5604
      72.6655       31.5604
      74.5758       29.6501
      74.5758       31.6501
      77.4561       28.7698
      77.4561       30.7698
      80.3321       27.8938
      80.3321       29.8938
      82.8666       27.3593
      82.8666       29.3593
      85.3807       26.8452
      85.3807       28.8452
      87.5098       26.7161
      87.5098       28.7161
      89.6505       26.5754
      89.6505       28.5754
      91.4709        26.755
      91.4709        28.755
      93.2274       26.9985
      93.2274       28.9985
      95.2167       27.0092
      95.2167       29.0092
      97.1402       27.0857
