     Time_Now  Buffer_Level 
      2.22586             0
      2.22586             2
      2.86531       1.36054
      2.86531       3.36054
      3.07921       3.14664
      3.07921       5.14664
      3.30418       4.92168
      3.30418       6.92168
       3.5238       6.70205
       3.5238       8.70205
      3.71988       8.50598
      3.71988        10.506
      3.84554       10.3803
      3.84554       12.3803
      3.96456       12.2613
      3.96456       14.2613
      4.09689        14.129
      4.09689        16.129
      4.21739       16.0085
      4.21739       18.0085
      4.34369       17.8822
      4.34369       19.8822
      4.46736       19.7585
      4.46736       21.7585
      4.58829       21.6376
      4.58829       23.6376
      4.69849       23.5274
      4.69849       25.5274
      4.96615       25.2597
      4.96615       27.2597
      5.62213       26.6037
      5.62213       28.6037
      6.67699       27.5489
      6.67699       29.5489
      8.09754       28.1283
      8.09754       30.1283
       9.7513       28.4746
       9.7513       30.4746
      11.4742       28.7516
      11.4742       30.7516
      13.3818       28.8441
      13.3818       30.8441
       15.249       28.9768
       15.249       30.9768
      17.1866       29.0392
      17.1866       31.0392
      20.0259       28.1999
      20.0259       30.1999
      22.6487       27.5771
      22.6487       29.5771
      25.4369        26.789
      25.4369        28.789
      27.9016       26.3243
      27.9016       28.3243
      30.1091       26.1168
      30.1091       28.1168
       32.071       26.1548
       32.071       28.1548
      33.9916       26.2343
      33.9916       28.2343
      35.7952       26.4306
      35.7952       28.4306
      37.6437       26.5822
      37.6437       28.5822
      39.5048        26.721
      39.5048        28.721
      41.1735       27.0523
      41.1735       29.0523
      42.9197       27.3062
      42.9197       29.3062
      44.5252       27.7007
      44.5252       29.7007
      46.4614       27.7645
      46.4614       29.7645
      48.2852       27.9407
      48.2852       29.9407
      50.0949        28.131
      50.0949        30.131
      51.8193       28.4066
      51.8193       30.4066
      53.6465       28.5793
      53.6465       30.5793
      55.5751       28.6508
      55.5751       30.6508
      57.4842       28.7417
      57.4842       30.7417
      59.3672       28.8586
      59.3672       30.8586
       61.135       29.0908
       61.135       31.0908
      62.9752       29.2506
      62.9752       31.2506
      64.8597       29.3662
      64.8597       31.3662
      66.8476       29.3783
      66.8476       31.3783
      68.8396       29.3863
      68.8396       31.3863
      70.7717       29.4541
      70.7717       31.4541
      72.6395       29.5864
      72.6395       31.5864
      74.5521       29.6737
      74.5521       31.6737
      77.5824       28.6434
      77.5824       30.6434
      80.6227       27.6032
      80.6227       29.6032
      83.0873       27.1385
      83.0873       29.1385
      85.7037       26.5222
      85.7037       28.5222
      87.8034       26.4225
      87.8034       28.4225
      89.9278       26.2981
      89.9278       28.2981
      91.6933       26.5326
      91.6933       28.5326
      93.3127       26.9132
      93.3127       28.9132
