     Time_Now  Buffer_Level 
       2.1966             0
       2.1966             2
      2.47016       1.72644
      2.47016       3.72644
      2.65921       3.53739
      2.65921       5.53739
      2.84299       5.35361
      2.84299       7.35361
      2.94326       7.25334
      2.94326       9.25334
      3.04323       9.15337
      3.04323       11.1534
      3.14117       11.0554
      3.14117       13.0554
      3.23718       12.9594
      3.23718       14.9594
       3.3348       14.8618
       3.3348       16.8618
      3.43116       16.7654
      3.43116       18.7654
      3.52818       18.6684
      3.52818       20.6684
      3.63047       20.5661
      3.63047       22.5661
      3.73152       22.4651
      3.73152       24.4651
      3.82933       24.3673
      3.82933       26.3673
      3.92864        26.268
      3.92864        28.268
      4.03341       28.1632
      4.03341       30.1632
      4.13795       30.0586
      4.13795       32.0586
      4.24432       31.9523
      4.24432       33.9523
      4.35328       33.8433
      4.35328       35.8433
      4.46158        35.735
      4.46158        37.735
      4.57094       37.6257
      4.57094       39.6257
      4.69565       39.5009
      4.69565       41.5009
      8.31552       37.8811
      8.31552       39.8811
      8.42967       39.7669
      8.42967       41.7669
      8.57155       41.6251
      8.57155       43.6251
        10.71       41.4866
        10.71       43.4866
      12.8482       41.3484
      12.8482       43.3484
      14.9858       41.2108
      14.9858       43.2108
       15.166       43.0306
       15.166       45.0306
      17.3467       42.8499
      17.3467       44.8499
      19.4991       42.6975
      19.4991       44.6975
      19.8103       44.3863
      19.8103       46.3863
      22.9229       43.2737
      22.9229       45.2737
      25.5748       42.6218
      25.5748       44.6218
      28.3959       41.8007
      28.3959       43.8007
      30.8555       41.3411
      30.8555       43.3411
      33.4087       40.7879
      33.4087       42.7879
        35.87       40.3266
        35.87       42.3266
      38.3344       39.8622
      38.3344       41.8622
      40.7894       39.4072
      40.7894       41.4072
      43.3357       38.8609
      43.3357       40.8609
      45.8181       38.3785
      45.8181       40.3785
      48.3723       37.8243
      48.3723       39.8243
      50.8479       37.3487
      50.8479       39.3487
      53.1386        37.058
      53.1386        39.058
      55.5105       36.6861
      55.5105       38.6861
      57.9025       36.2941
      57.9025       38.2941
       60.285       35.9116
       60.285       37.9116
      62.7607       35.4359
      62.7607       37.4359
      65.1368       35.0598
      65.1368       37.0598
      67.4148       34.7818
      67.4148       36.7818
      69.5295       34.6671
      69.5295       36.6671
      72.1051       34.0915
      72.1051       36.0915
      75.1317       33.0649
      75.1317       35.0649
      78.0531       32.1435
      78.0531       34.1435
      81.1825       31.0141
      81.1825       33.0141
      84.2116        29.985
      84.2116        31.985
      87.1188       29.0778
      87.1188       31.0778
      88.9448       29.2518
      88.9448       31.2518
      90.5677       29.6289
      90.5677       31.6289
      92.8418       29.3548
      92.8418       31.3548
       95.014       29.1826
       95.014       31.1826
      96.6615       29.5351
      96.6615       31.5351
      98.6746        29.522
      98.6746        31.522
      100.834       29.3622
      100.834       31.3622
      102.592       29.6047
      102.592       31.6047
      104.493        29.704
      104.493        31.704
      106.406       29.7907
      106.406       31.7907
      108.388       29.8089
      108.388       31.8089
      110.782       29.4145
      110.782       31.4145
      112.852       29.3449
      112.852       31.3449
      114.572        29.625
      114.572        31.625
       116.67       29.5264
       116.67       31.5264
      118.426       29.7708
      118.426       31.7708
      120.289       29.9073
      120.289       31.9073
      122.605       29.5914
      122.605       31.5914
      124.925       29.2719
      124.925       31.2719
      126.972       29.2248
      126.972       31.2248
      128.882       29.3145
      128.882       31.3145
      130.885       29.3112
      130.885       31.3112
      132.949       29.2474
      132.949       31.2474
      134.753       29.4431
      134.753       31.4431
      136.693       29.5038
      136.693       31.5038
      138.767       29.4295
      138.767       31.4295
      140.678       29.5185
      140.678       31.5185
      142.603       29.5934
      142.603       31.5934
      144.609       29.5876
      144.609       31.5876
      146.667       29.5292
      146.667       31.5292
       148.77       29.4271
