     Time_Now  Buffer_Level 
       2.2259             0
       2.2259             2
      2.51911       1.70679
      2.51911       3.70679
      2.70466       3.52124
      2.70466       5.52124
      2.80374       5.42216
      2.80374       7.42216
      2.89982       7.32608
      2.89982       9.32608
      2.99586       9.23004
      2.99586         11.23
      3.09055       11.1354
      3.09055       13.1354
       3.1843       13.0416
       3.1843       15.0416
      3.27989        14.946
      3.27989        16.946
      3.37365       16.8522
      3.37365       18.8522
      3.46793        18.758
      3.46793        20.758
      3.56207       20.6638
      3.56207       22.6638
      3.65586         22.57
      3.65586         24.57
      3.74879       24.4771
      3.74879       26.4771
      3.84195        26.384
      3.84195        28.384
      3.93683       28.2891
      3.93683       30.2891
      4.03165       30.1943
      4.03165       32.1943
      4.12768       32.0982
      4.12768       34.0982
      4.22411       34.0018
      4.22411       36.0018
      4.32129       35.9046
      4.32129       37.9046
      14.0377       28.1882
      14.0377       30.1882
      23.8695       20.3564
      23.8695       22.3564
      31.5335       14.6924
      31.5335       16.6924
      37.9642       10.2617
      37.9642       12.2617
      43.1618       7.06409
      43.1618       9.06409
      47.9637       4.26223
      47.9637       6.26223
      52.9008       1.32509
      52.9008       3.32509
      57.9632             0
      57.9632             2
      62.5243             0
      62.5243             2
      64.9753             0
      64.9753             2
      66.7996      0.175687
      66.7996       2.17569
      68.8846      0.090674
      68.8846       2.09067
      71.3156             0
      71.3156             2
      72.2829       1.03269
      72.2829       3.03269
      73.9822       1.33336
      73.9822       3.33336
      74.8043       2.51131
      74.8043       4.51131
      75.8671       3.44847
      75.8671       5.44847
      77.0749       4.24066
      77.0749       6.24066
      78.2831       5.03249
      78.2831       7.03249
      79.4912       5.82434
      79.4912       7.82434
      80.9198       6.39578
      80.9198       8.39578
       82.253        7.0626
       82.253        9.0626
      83.5865       7.72905
      83.5865       9.72905
      85.0252       8.29042
      85.0252       10.2904
      85.8571       9.45851
      85.8571       11.4585
      86.9298       10.3858
      86.9298       12.3858
      88.2431       11.0725
      88.2431       13.0725
      89.6121       11.7035
      89.6121       13.7035
      91.1065       12.2091
      91.1065       14.2091
      92.1095       13.2061
      92.1095       15.2061
      93.0421       14.2734
      93.0421       16.2734
      93.4883       15.8272
      93.4883       17.8272
      94.8115       16.5041
      94.8115       18.5041
      97.6285       15.6871
      97.6285       17.6871
      101.333       13.9831
      101.333       15.9831
      105.633       11.6825
      105.633       13.6825
      109.818       9.49739
      109.818       11.4974
       112.52       8.79572
       112.52       10.7957
      115.212       8.10408
      115.212       10.1041
      116.535       8.78078
      116.535       10.7808
      119.227       8.08899
      119.227        10.089
      121.928       7.38751
      121.928       9.38751
      123.743        7.5729
      123.743        9.5729
      125.818       7.49785
      125.818       9.49785
      128.153       7.16223
      128.153       9.16223
      129.968       7.34769
      129.968       9.34769
       131.05       8.26514
       131.05       10.2651
      132.489        8.8264
      132.489       10.8264
      133.707       9.60822
      133.707       11.6082
      135.783        9.5329
      135.783       11.5329
      137.848        9.4677
      137.848       11.4677
      139.422       9.89377
      139.422       11.8938
